fid,Ponto,X,Y,Z,2019-11-_1,2019-11-_2,2019-11-_3
"1",PARP1,595423.164,7221144.271,952.6342,179.742553710938,178.656555175781,104.583770751953
"2",PARP2,595424.688,7221147.995,952.7406,193.409469604492,194.41276550293,117.076873779297
"3",PARP3,595426.053,7221151.609,952.8061,175.043029785156,170.913192749023,96.4598159790039
"4",PARP4,595427.783,7221155.602,952.1135,186.58805847168,178.453002929688,123.30517578125
"5",PARP5,595428.857,7221159.283,951.3771,161.735061645508,162.762924194336,97.0017471313477
"6",PARP6,595462.692,7221125.505,952.6211,191.08837890625,175.358901977539,94.9069137573242
"7",PARP7,595464.434,7221129.83,953.0222,186.645004272461,181.640731811523,92.7271957397461
"8",PARP8,595466.783,7221134.933,952.2832,173.268188476563,172.55158996582,97.4770355224609
"9",PARP9,595468.973,7221139.292,951.8156,151.319488525391,158.517547607422,83.6842956542969
"10",PARP10,595471.158,7221142.565,952.4577,149.798782348633,155.348892211914,89.0183410644531
"11",PARP11,595504.975,7221187.601,948.5631,196.933227539063,199.263870239258,129.048110961914
"12",PARP12,595506.538,7221192.361,949.7588,166.512191772461,163.126098632813,107.383453369141
"13",PARP13,595507.039,7221195.53,947.4691,188.391342163086,175.699081420898,123.592247009277
"14",PARP14,595507.417,7221199.105,947.9511,173.725738525391,167.466918945313,116.18537902832
"15",PARP15,595507.667,7221203.262,947.2234,148.448211669922,136.108901977539,111.897018432617
"16",PARP16,595457.073,7221210.4,949.1746,199.057250976563,198.803298950195,139.734725952148
"17",PARP17,595457.228,7221214.023,948.9755,184.555450439453,186.514022827148,128.838180541992
"18",PARP18,595458.237,7221217.409,946.883,158.667282104492,162.178787231445,110.160850524902
"19",PARP19,595458.543,7221221.834,946.9921,170.118865966797,162.8310546875,120.484397888184
"20",PARP20,595458.816,7221226.052,947.2298,98.1084899902344,105.290344238281,79.7126846313477
"21",PARP21,595303.663,7221243.749,945.395,183.280151367188,184.176223754883,118.433670043945
"22",PARP22,595304.614,7221247.145,946.0226,191.608367919922,195.701354980469,143.456970214844
"23",PARP23,595305.032,7221250.919,944.9048,134.12190246582,161.417068481445,75.0313034057617
"24",PARP24,595305.53,7221254.37,946.4189,143.652984619141,165.956298828125,84.3272476196289
"25",PARP25,595306.239,7221258.801,944.6257,143.858123779297,153.166275024414,89.4366607666016
"26",PARP26,595412.302,7221317.396,938.7978,182.915893554688,181.39616394043,123.556991577148
"27",PARP27,595413.301,7221321.33,938.1639,183.3291015625,171.142547607422,123.984199523926
"28",PARP28,595414.558,7221326.378,939.3718,186.691864013672,181.400909423828,123.447090148926
"29",PARP29,595413.464,7221329.416,937.3186,215.720855712891,209.783447265625,166.559387207031
"30",PARP30,595414.16,7221332.724,936.2815,203.949813842773,197.685974121094,148.003265380859
